LJ_3n				
N	4000	R	1	30
				
1	1	1.43868E+12	1.64772E+13	
2	1.007251813	1.31919E+12	1.50049E+13	
3	1.014503626	1.21038E+12	1.36733E+13	
4	1.021755439	1.11122E+12	1.24681E+13	
5	1.029007252	1.0208E+12	1.13765E+13	
6	1.036259065	9.38303E+11	1.03871E+13	
7	1.043510878	8.62978E+11	9.48983E+12	
8	1.050762691	7.94159E+11	8.67544E+12	
9	1.058014504	7.31247E+11	7.93582E+12	
10	1.065266317	6.73698E+11	7.26366E+12	
11	1.07251813	6.21023E+11	6.65241E+12	
12	1.079769942	5.72781E+11	6.0962E+12	
13	1.087021755	5.28572E+11	5.58975E+12	
14	1.094273568	4.88037E+11	5.12832E+12	
15	1.101525381	4.50847E+11	4.70765E+12	
16	1.108777194	4.16708E+11	4.32391E+12	
17	1.116029007	3.85352E+11	3.97364E+12	
18	1.12328082	3.56536E+11	3.65374E+12	
19	1.130532633	3.30039E+11	3.3614E+12	
20	1.137784446	3.05663E+11	3.0941E+12	
21	1.145036259	2.83225E+11	2.84955E+12	
22	1.152288072	2.62561E+11	2.62568E+12	
23	1.159539885	2.4352E+11	2.42065E+12	
24	1.166791698	2.25966E+11	2.23275E+12	
25	1.174043511	2.09774E+11	2.06047E+12	
26	1.181295324	1.94832E+11	1.90241E+12	
27	1.188547137	1.81036E+11	1.75734E+12	
28	1.19579895	1.68293E+11	1.62411E+12	
29	1.203050763	1.56515E+11	1.50169E+12	
30	1.210302576	1.45625E+11	1.38916E+12	
31	1.217554389	1.35551E+11	1.28565E+12	
32	1.224806202	1.26228E+11	1.1904E+12	
33	1.232058015	1.17595E+11	1.10271E+12	
34	1.239309827	1.09598E+11	1.02194E+12	
35	1.24656164	1.02187E+11	9.47497E+11	
36	1.253813453	95316330275	8.78865E+11	
37	1.261065266	88942964126	8.15557E+11	
38	1.268317079	83028697363	7.57133E+11	
39	1.275568892	77538112543	7.03191E+11	
40	1.282820705	72438703562	6.53365E+11	
41	1.290072518	67700621782	6.07321E+11	
42	1.297324331	63296445552	5.64752E+11	
43	1.304576144	59200970859	5.25379E+11	
44	1.311827957	55391021056	4.88946E+11	
45	1.31907977	51845273843	4.5522E+11	
46	1.326331583	48544103858	4.23986E+11	
47	1.333583396	45469439386	3.95047E+11	
48	1.340835209	42604631855	3.68224E+11	
49	1.348087022	39934336920	3.43353E+11	
50	1.355338835	37444406050	3.20281E+11	
51	1.362590648	35121787639	2.9887E+11	
52	1.369842461	32954436760	2.78993E+11	
53	1.377094274	30931232771	2.60532E+11	
54	1.384346087	29041904046	2.4338E+11	
55	1.391597899	27276959184	2.27438E+11	
56	1.398849712	25627624117	2.12614E+11	
57	1.406101525	24085784570	1.98826E+11	
58	1.413353338	22643933405	1.85996E+11	
59	1.420605151	21295122405	1.74054E+11	
60	1.427856964	20032918107	1.62933E+11	
61	1.435108777	18851361326	1.52573E+11	
62	1.44236059	17744930044	1.42919E+11	
63	1.449612403	16708505367	1.3392E+11	
64	1.456864216	15737340288	1.25529E+11	
65	1.464116029	14827031005	1.177E+11	
66	1.471367842	13973490586	1.10395E+11	
67	1.478619655	13172924759	1.03576E+11	
68	1.485871468	12421809670	97208553687	
69	1.493123281	11716871421	91260513475	
70	1.500375094	11055067247	85702576411	
71	1.507626907	10433568194	80507458398	
72	1.51487872	9849743164	75649901338	
73	1.522130533	9301144230	71106514031	
74	1.529382346	8785493090	66855626237	
75	1.536634159	8300668594	62877154769	
76	1.543885971	7844695228	59152480560	
77	1.551137784	7415732504	55664335774	
78	1.558389597	7012065152	52396700081	
79	1.56564141	6632094084	49334705336	
80	1.572893223	6274328029	46464547931	
81	1.580145036	5937375818	43773408169	
82	1.587396849	5619939250	41249376085	
83	1.594648662	5320806490	38881383154	
84	1.601900475	5038845972	36659139411	
85	1.609152288	4773000750	34573075514	
86	1.616404101	4522283273	32614289363	
87	1.623655914	4285770547	30774496881	
88	1.630907727	4062599652	29045986624	
89	1.63815954	3851963590	27421577904	
90	1.645411353	3653107436	25894582148	
91	1.652663166	3465324770	24458767211	
92	1.659914979	3287954365	23108324426	
93	1.667166792	3120377119	21837838163	
94	1.674418605	2962013201	20642257687	
95	1.681670418	2812319409	19516871147	
96	1.688922231	2670786710	18457281521	
97	1.696174044	2536937957	17459384355	
98	1.703425856	2410325767	16519347168	
99	1.710677669	2290530552	15633590383	
100	1.717929482	2177158678	14798769665	
101	1.725181295	2069840769	14011759569	
102	1.732433108	1968230109	13269638372	
103	1.739684921	1872001174	12569674030	
104	1.746936734	1780848249	11909311141	
105	1.754188547	1694484152	11286158861	
106	1.76144036	1612639039	10697979693	
107	1.768692173	1535059291	10142679076	
108	1.775943986	1461506480	9618295720	
109	1.783195799	1391756398	9122992636	
110	1.790447612	1325598162	8655048800	
111	1.797699425	1262833367	8212851398	
112	1.804951238	1203275305	7794888634	
113	1.812203051	1146748231	7399743030	
114	1.819454864	1093086678	7026085196	
115	1.826706677	1042134823	6672668041	
116	1.83395849	993745882.3	6338321378	
117	1.841210303	947781561.2	6021946902	
118	1.848462116	904111528.6	5722513524	
119	1.855713928	862612930.9	5439053007	
120	1.862965741	823169935.9	5170655922	
121	1.870217554	785673306.3	4916467856	
122	1.877469367	750020001	4675685898	
123	1.88472118	716112801.5	4447555348	
124	1.891972993	683859962	4231366656	
125	1.899224806	653174882.5	4026452559	
126	1.906476619	623975801.6	3832185416	
127	1.913728432	596185509.8	3647974719	
128	1.920980245	569731079.5	3473264763	
129	1.928232058	544543613.1	3307532477	
130	1.935483871	520558006.2	3150285398	
131	1.942735684	497712725.8	3001059768	
132	1.949987497	475949601.7	2859418770	
133	1.95723931	455213631.6	2724950867	
134	1.964491123	435452797.6	2597268255	
135	1.971742936	416617894	2476005412	
136	1.978994749	398662365.9	2360817745	
137	1.986246562	381542157.2	2251380319	
138	1.993498375	365215568.2	2147386671	
139	2.000750188	349643121.8	2048547701	
140	2.008002001	334787437	1954590623	
141	2.015253813	320613111.4	1865257998	
142	2.022505626	307086609.3	1780306816	
143	2.029757439	294176157.3	1699507641	
144	2.037009252	281851645.7	1622643806	
145	2.044261065	270084536.4	1549510665	
146	2.051512878	258847774.9	1479914882	
147	2.058764691	248115708.9	1413673772	
148	2.066016504	237864011.2	1350614679	
149	2.073268317	228069606.1	1290574393	
150	2.08052013	218710602	1233398603	
