# Chunk-averaged data for fix zprofile and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7500 180 143.28400000000005
  1 0.0793701 0 0
  2 0.23811 0 0
  3 0.39685 0 0
  4 0.55559 0 0
  5 0.71433 0 0
  6 0.873071 0 0
  7 1.03181 0 0
  8 1.19055 0 0
  9 1.34929 0 0
  10 1.50803 0 0
  11 1.66677 0 0
  12 1.82551 0 0
  13 1.98425 0 0
  14 2.14299 0 0
  15 2.30173 0 0
  16 2.46047 0 0
  17 2.61921 0 0
  18 2.77795 0 0
  19 2.93669 0 0
  20 3.09543 0 0
  21 3.25417 0 0
  22 3.41291 0 0
  23 3.57165 0 0
  24 3.73039 0 0
  25 3.88913 0 0
  26 4.04787 0 0
  27 4.20661 0 0
  28 4.36535 0 0
  29 4.52409 0 0
  30 4.68283 0 0
  31 4.84157 0 0
  32 5.00031 0 0
  33 5.15905 0.002 0.000138889
  34 5.31779 1.568 0.108889
  35 5.47653 12.958 0.899861
  36 5.63527 14.388 0.999167
  37 5.79401 6.15 0.427083
  38 5.95275 2.812 0.195278
  39 6.11149 1.946 0.135139
  40 6.27023 1.868 0.129722
  41 6.42897 2.416 0.167778
  42 6.58771 2.27 0.157639
  43 6.74645 1.688 0.117222
  44 6.90519 1.188 0.0825
  45 7.06393 0.786 0.0545833
  46 7.22267 0.68 0.0472222
  47 7.38141 0.572 0.0397222
  48 7.54015 0.578 0.0401389
  49 7.6989 0.46 0.0319444
  50 7.85764 0.454 0.0315278
  51 8.01638 0.412 0.0286111
  52 8.17512 0.36 0.025
  53 8.33386 0.356 0.0247222
  54 8.4926 0.362 0.0251389
  55 8.65134 0.362 0.0251389
  56 8.81008 0.366 0.0254167
  57 8.96882 0.324 0.0225
  58 9.12756 0.362 0.0251389
  59 9.2863 0.302 0.0209722
  60 9.44504 0.31 0.0215278
  61 9.60378 0.334 0.0231944
  62 9.76252 0.354 0.0245833
  63 9.92126 0.296 0.0205556
  64 10.08 0.36 0.025
  65 10.2387 0.348 0.0241667
  66 10.3975 0.312 0.0216667
  67 10.5562 0.312 0.0216667
  68 10.715 0.32 0.0222222
  69 10.8737 0.306 0.02125
  70 11.0324 0.336 0.0233333
  71 11.1912 0.352 0.0244444
  72 11.3499 0.328 0.0227778
  73 11.5087 0.272 0.0188889
  74 11.6674 0.314 0.0218056
  75 11.8261 0.31 0.0215278
  76 11.9849 0.322 0.0223611
  77 12.1436 0.356 0.0247222
  78 12.3024 0.322 0.0223611
  79 12.4611 0.336 0.0233333
  80 12.6198 0.286 0.0198611
  81 12.7786 0.368 0.0255556
  82 12.9373 0.322 0.0223611
  83 13.0961 0.368 0.0255556
  84 13.2548 0.322 0.0223611
  85 13.4135 0.342 0.02375
  86 13.5723 0.322 0.0223611
  87 13.731 0.304 0.0211111
  88 13.8898 0.312 0.0216667
  89 14.0485 0.346 0.0240278
  90 14.2072 0.308 0.0213889
  91 14.366 0.34 0.0236111
  92 14.5247 0.318 0.0220833
  93 14.6835 0.334 0.0231944
  94 14.8422 0.308 0.0213889
  95 15.0009 0.352 0.0244444
  96 15.1597 0.322 0.0223611
  97 15.3184 0.33 0.0229167
  98 15.4772 0.282 0.0195833
  99 15.6359 0.338 0.0234722
  100 15.7946 0.302 0.0209722
  101 15.9534 0.31 0.0215278
  102 16.1121 0.348 0.0241667
  103 16.2709 0.318 0.0220833
  104 16.4296 0.294 0.0204167
  105 16.5883 0.328 0.0227778
  106 16.7471 0.332 0.0230556
  107 16.9058 0.278 0.0193056
  108 17.0646 0.352 0.0244444
  109 17.2233 0.336 0.0233333
  110 17.382 0.322 0.0223611
  111 17.5408 0.338 0.0234722
  112 17.6995 0.314 0.0218056
  113 17.8583 0.31 0.0215278
  114 18.017 0.342 0.02375
  115 18.1757 0.34 0.0236111
  116 18.3345 0.316 0.0219444
  117 18.4932 0.382 0.0265278
  118 18.652 0.32 0.0222222
  119 18.8107 0.38 0.0263889
  120 18.9694 0.37 0.0256944
  121 19.1282 0.32 0.0222222
  122 19.2869 0.286 0.0198611
  123 19.4457 0.364 0.0252778
  124 19.6044 0.306 0.02125
  125 19.7631 0.328 0.0227778
  126 19.9219 0.266 0.0184722
  127 20.0806 0.334 0.0231944
  128 20.2394 0.3 0.0208333
  129 20.3981 0.352 0.0244444
  130 20.5568 0.344 0.0238889
  131 20.7156 0.33 0.0229167
  132 20.8743 0.358 0.0248611
  133 21.0331 0.326 0.0226389
  134 21.1918 0.364 0.0252778
  135 21.3505 0.326 0.0226389
  136 21.5093 0.274 0.0190278
  137 21.668 0.292 0.0202778
  138 21.8268 0.294 0.0204167
  139 21.9855 0.292 0.0202778
  140 22.1442 0.342 0.02375
  141 22.303 0.338 0.0234722
  142 22.4617 0.274 0.0190278
  143 22.6205 0.36 0.025
  144 22.7792 0.33 0.0229167
  145 22.9379 0.328 0.0227778
  146 23.0967 0.266 0.0184722
  147 23.2554 0.392 0.0272222
  148 23.4142 0.302 0.0209722
  149 23.5729 0.294 0.0204167
  150 23.7316 0.366 0.0254167
  151 23.8904 0.34 0.0236111
  152 24.0491 0.342 0.02375
  153 24.2079 0.384 0.0266667
  154 24.3666 0.32 0.0222222
  155 24.5253 0.314 0.0218056
  156 24.6841 0.308 0.0213889
  157 24.8428 0.378 0.02625
  158 25.0016 0.39 0.0270833
  159 25.1603 0.396 0.0275
  160 25.319 0.468 0.0325
  161 25.4778 0.484 0.0336111
  162 25.6365 0.498 0.0345833
  163 25.7953 0.536 0.0372222
  164 25.954 0.592 0.0411111
  165 26.1127 0.7 0.0486111
  166 26.2715 0.946 0.0656944
  167 26.4302 1.086 0.0754167
  168 26.589 1.744 0.121111
  169 26.7477 2.38 0.165278
  170 26.9064 2.454 0.170417
  171 27.0652 1.822 0.126528
  172 27.2239 1.87 0.129861
  173 27.3827 2.86 0.198611
  174 27.5414 6.424 0.446111
  175 27.7001 14.952 1.03833
  176 27.8589 13.104 0.91
  177 28.0176 1.596 0.110833
  178 28.1764 0.002 0.000138889
  179 28.3351 0 0
  180 28.4938 0 0
