# Chunk-averaged data for fix zprofile and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7500 180 384.28000000000014
  1 0.0793701 0 0
  2 0.23811 0 0
  3 0.39685 0 0
  4 0.55559 0 0
  5 0.71433 0 0
  6 0.873071 0 0
  7 1.03181 0 0
  8 1.19055 0 0
  9 1.34929 0 0
  10 1.50803 0 0
  11 1.66677 0 0
  12 1.82551 0 0
  13 1.98425 0 0
  14 2.14299 0 0
  15 2.30173 0 0
  16 2.46047 0 0
  17 2.61921 0 0
  18 2.77795 0 0
  19 2.93669 0 0
  20 3.09543 0 0
  21 3.25417 0 0
  22 3.41291 0 0
  23 3.57165 0 0
  24 3.73039 0 0
  25 3.88913 0 0
  26 4.04787 0 0
  27 4.20661 0 0
  28 4.36535 0 0
  29 4.52409 0 0
  30 4.68283 0 0
  31 4.84157 0 0
  32 5.00031 0 0
  33 5.15905 0 0
  34 5.31779 12.102 0.840417
  35 5.47653 59.188 4.11028
  36 5.63527 0.708 0.0491667
  37 5.79401 0.002 0.000138889
  38 5.95275 0.44 0.0305556
  39 6.11149 17.5 1.21528
  40 6.27023 30.482 2.11681
  41 6.42897 12.706 0.882361
  42 6.58771 3.414 0.237083
  43 6.74645 1.686 0.117083
  44 6.90519 2.972 0.206389
  45 7.06393 6.988 0.485278
  46 7.22267 8.036 0.558056
  47 7.38141 5.192 0.360556
  48 7.54015 2.882 0.200139
  49 7.6989 1.914 0.132917
  50 7.85764 1.504 0.104444
  51 8.01638 1.432 0.0994444
  52 8.17512 1.328 0.0922222
  53 8.33386 1.01 0.0701389
  54 8.4926 0.876 0.0608333
  55 8.65134 0.738 0.05125
  56 8.81008 0.598 0.0415278
  57 8.96882 0.552 0.0383333
  58 9.12756 0.448 0.0311111
  59 9.2863 0.398 0.0276389
  60 9.44504 0.374 0.0259722
  61 9.60378 0.378 0.02625
  62 9.76252 0.332 0.0230556
  63 9.92126 0.362 0.0251389
  64 10.08 0.368 0.0255556
  65 10.2387 0.336 0.0233333
  66 10.3975 0.342 0.02375
  67 10.5562 0.326 0.0226389
  68 10.715 0.302 0.0209722
  69 10.8737 0.316 0.0219444
  70 11.0324 0.338 0.0234722
  71 11.1912 0.378 0.02625
  72 11.3499 0.318 0.0220833
  73 11.5087 0.308 0.0213889
  74 11.6674 0.306 0.02125
  75 11.8261 0.37 0.0256944
  76 11.9849 0.366 0.0254167
  77 12.1436 0.342 0.02375
  78 12.3024 0.34 0.0236111
  79 12.4611 0.286 0.0198611
  80 12.6198 0.342 0.02375
  81 12.7786 0.31 0.0215278
  82 12.9373 0.3 0.0208333
  83 13.0961 0.334 0.0231944
  84 13.2548 0.33 0.0229167
  85 13.4135 0.312 0.0216667
  86 13.5723 0.344 0.0238889
  87 13.731 0.346 0.0240278
  88 13.8898 0.34 0.0236111
  89 14.0485 0.37 0.0256944
  90 14.2072 0.316 0.0219444
  91 14.366 0.32 0.0222222
  92 14.5247 0.324 0.0225
  93 14.6835 0.338 0.0234722
  94 14.8422 0.308 0.0213889
  95 15.0009 0.29 0.0201389
  96 15.1597 0.296 0.0205556
  97 15.3184 0.326 0.0226389
  98 15.4772 0.41 0.0284722
  99 15.6359 0.34 0.0236111
  100 15.7946 0.31 0.0215278
  101 15.9534 0.346 0.0240278
  102 16.1121 0.33 0.0229167
  103 16.2709 0.318 0.0220833
  104 16.4296 0.306 0.02125
  105 16.5883 0.376 0.0261111
  106 16.7471 0.352 0.0244444
  107 16.9058 0.33 0.0229167
  108 17.0646 0.354 0.0245833
  109 17.2233 0.31 0.0215278
  110 17.382 0.326 0.0226389
  111 17.5408 0.304 0.0211111
  112 17.6995 0.336 0.0233333
  113 17.8583 0.314 0.0218056
  114 18.017 0.342 0.02375
  115 18.1757 0.326 0.0226389
  116 18.3345 0.284 0.0197222
  117 18.4932 0.32 0.0222222
  118 18.652 0.324 0.0225
  119 18.8107 0.33 0.0229167
  120 18.9694 0.336 0.0233333
  121 19.1282 0.3 0.0208333
  122 19.2869 0.352 0.0244444
  123 19.4457 0.35 0.0243056
  124 19.6044 0.31 0.0215278
  125 19.7631 0.342 0.02375
  126 19.9219 0.348 0.0241667
  127 20.0806 0.338 0.0234722
  128 20.2394 0.334 0.0231944
  129 20.3981 0.326 0.0226389
  130 20.5568 0.3 0.0208333
  131 20.7156 0.39 0.0270833
  132 20.8743 0.388 0.0269444
  133 21.0331 0.346 0.0240278
  134 21.1918 0.334 0.0231944
  135 21.3505 0.33 0.0229167
  136 21.5093 0.284 0.0197222
  137 21.668 0.356 0.0247222
  138 21.8268 0.314 0.0218056
  139 21.9855 0.284 0.0197222
  140 22.1442 0.324 0.0225
  141 22.303 0.324 0.0225
  142 22.4617 0.276 0.0191667
  143 22.6205 0.332 0.0230556
  144 22.7792 0.326 0.0226389
  145 22.9379 0.332 0.0230556
  146 23.0967 0.312 0.0216667
  147 23.2554 0.334 0.0231944
  148 23.4142 0.388 0.0269444
  149 23.5729 0.35 0.0243056
  150 23.7316 0.4 0.0277778
  151 23.8904 0.38 0.0263889
  152 24.0491 0.488 0.0338889
  153 24.2079 0.436 0.0302778
  154 24.3666 0.526 0.0365278
  155 24.5253 0.632 0.0438889
  156 24.6841 0.742 0.0515278
  157 24.8428 0.85 0.0590278
  158 25.0016 1.304 0.0905556
  159 25.1603 1.604 0.111389
  160 25.319 1.51 0.104861
  161 25.4778 1.646 0.114306
  162 25.6365 1.966 0.136528
  163 25.7953 2.994 0.207917
  164 25.954 5.424 0.376667
  165 26.1127 8.522 0.591806
  166 26.2715 7.708 0.535278
  167 26.4302 3.214 0.223194
  168 26.589 1.51 0.104861
  169 26.7477 3.36 0.233333
  170 26.9064 11.564 0.803056
  171 27.0652 31.342 2.17653
  172 27.2239 18.646 1.29486
  173 27.3827 0.534 0.0370833
  174 27.5414 0 0
  175 27.7001 0.65 0.0451389
  176 27.8589 59.486 4.13097
  177 28.0176 11.864 0.823889
  178 28.1764 0 0
  179 28.3351 0 0
  180 28.4938 0 0
