# Chunk-averaged data for fix zprofile and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7500 180 400.7500000000001
  1 0.0793701 0 0
  2 0.23811 0 0
  3 0.39685 0 0
  4 0.55559 0 0
  5 0.71433 0 0
  6 0.873071 0 0
  7 1.03181 0 0
  8 1.19055 0 0
  9 1.34929 0 0
  10 1.50803 0 0
  11 1.66677 0 0
  12 1.82551 0 0
  13 1.98425 0 0
  14 2.14299 0 0
  15 2.30173 0 0
  16 2.46047 0 0
  17 2.61921 0 0
  18 2.77795 0 0
  19 2.93669 0 0
  20 3.09543 0 0
  21 3.25417 0 0
  22 3.41291 0 0
  23 3.57165 0 0
  24 3.73039 0 0
  25 3.88913 0 0
  26 4.04787 0 0
  27 4.20661 0 0
  28 4.36535 0 0
  29 4.52409 0 0
  30 4.68283 0 0
  31 4.84157 0 0
  32 5.00031 0 0
  33 5.15905 0.002 0.000138889
  34 5.31779 0.76 0.0527778
  35 5.47653 5.21 0.361806
  36 5.63527 8.342 0.579306
  37 5.79401 5.954 0.413472
  38 5.95275 3.884 0.269722
  39 6.11149 3.002 0.208472
  40 6.27023 2.84 0.197222
  41 6.42897 2.99 0.207639
  42 6.58771 3.288 0.228333
  43 6.74645 3.334 0.231528
  44 6.90519 2.982 0.207083
  45 7.06393 2.71 0.188194
  46 7.22267 2.738 0.190139
  47 7.38141 2.692 0.186944
  48 7.54015 2.712 0.188333
  49 7.6989 2.63 0.182639
  50 7.85764 2.656 0.184444
  51 8.01638 2.618 0.181806
  52 8.17512 2.702 0.187639
  53 8.33386 2.552 0.177222
  54 8.4926 2.67 0.185417
  55 8.65134 2.636 0.183056
  56 8.81008 2.594 0.180139
  57 8.96882 2.644 0.183611
  58 9.12756 2.656 0.184444
  59 9.2863 2.63 0.182639
  60 9.44504 2.626 0.182361
  61 9.60378 2.626 0.182361
  62 9.76252 2.646 0.18375
  63 9.92126 2.674 0.185694
  64 10.08 2.562 0.177917
  65 10.2387 2.632 0.182778
  66 10.3975 2.65 0.184028
  67 10.5562 2.564 0.178056
  68 10.715 2.64 0.183333
  69 10.8737 2.652 0.184167
  70 11.0324 2.556 0.1775
  71 11.1912 2.676 0.185833
  72 11.3499 2.606 0.180972
  73 11.5087 2.578 0.179028
  74 11.6674 2.558 0.177639
  75 11.8261 2.574 0.17875
  76 11.9849 2.616 0.181667
  77 12.1436 2.536 0.176111
  78 12.3024 2.46 0.170833
  79 12.4611 2.572 0.178611
  80 12.6198 2.55 0.177083
  81 12.7786 2.61 0.18125
  82 12.9373 2.464 0.171111
  83 13.0961 2.472 0.171667
  84 13.2548 2.616 0.181667
  85 13.4135 2.632 0.182778
  86 13.5723 2.488 0.172778
  87 13.731 2.458 0.170694
  88 13.8898 2.408 0.167222
  89 14.0485 2.484 0.1725
  90 14.2072 2.404 0.166944
  91 14.366 2.662 0.184861
  92 14.5247 2.518 0.174861
  93 14.6835 2.588 0.179722
  94 14.8422 2.644 0.183611
  95 15.0009 2.36 0.163889
  96 15.1597 2.564 0.178056
  97 15.3184 2.532 0.175833
  98 15.4772 2.642 0.183472
  99 15.6359 2.46 0.170833
  100 15.7946 2.514 0.174583
  101 15.9534 2.63 0.182639
  102 16.1121 2.508 0.174167
  103 16.2709 2.37 0.164583
  104 16.4296 2.56 0.177778
  105 16.5883 2.638 0.183194
  106 16.7471 2.402 0.166806
  107 16.9058 2.614 0.181528
  108 17.0646 2.652 0.184167
  109 17.2233 2.626 0.182361
  110 17.382 2.632 0.182778
  111 17.5408 2.508 0.174167
  112 17.6995 2.616 0.181667
  113 17.8583 2.618 0.181806
  114 18.017 2.578 0.179028
  115 18.1757 2.508 0.174167
  116 18.3345 2.626 0.182361
  117 18.4932 2.658 0.184583
  118 18.652 2.728 0.189444
  119 18.8107 2.634 0.182917
  120 18.9694 2.624 0.182222
  121 19.1282 2.624 0.182222
  122 19.2869 2.51 0.174306
  123 19.4457 2.49 0.172917
  124 19.6044 2.692 0.186944
  125 19.7631 2.586 0.179583
  126 19.9219 2.602 0.180694
  127 20.0806 2.538 0.17625
  128 20.2394 2.62 0.181944
  129 20.3981 2.482 0.172361
  130 20.5568 2.522 0.175139
  131 20.7156 2.466 0.17125
  132 20.8743 2.622 0.182083
  133 21.0331 2.57 0.178472
  134 21.1918 2.57 0.178472
  135 21.3505 2.596 0.180278
  136 21.5093 2.46 0.170833
  137 21.668 2.544 0.176667
  138 21.8268 2.56 0.177778
  139 21.9855 2.606 0.180972
  140 22.1442 2.586 0.179583
  141 22.303 2.564 0.178056
  142 22.4617 2.468 0.171389
  143 22.6205 2.548 0.176944
  144 22.7792 2.6 0.180556
  145 22.9379 2.622 0.182083
  146 23.0967 2.484 0.1725
  147 23.2554 2.488 0.172778
  148 23.4142 2.534 0.175972
  149 23.5729 2.654 0.184306
  150 23.7316 2.674 0.185694
  151 23.8904 2.502 0.17375
  152 24.0491 2.63 0.182639
  153 24.2079 2.556 0.1775
  154 24.3666 2.568 0.178333
  155 24.5253 2.53 0.175694
  156 24.6841 2.514 0.174583
  157 24.8428 2.5 0.173611
  158 25.0016 2.528 0.175556
  159 25.1603 2.53 0.175694
  160 25.319 2.672 0.185556
  161 25.4778 2.624 0.182222
  162 25.6365 2.616 0.181667
  163 25.7953 2.696 0.187222
  164 25.954 2.626 0.182361
  165 26.1127 2.718 0.18875
  166 26.2715 2.778 0.192917
  167 26.4302 3.042 0.21125
  168 26.589 3.328 0.231111
  169 26.7477 3.344 0.232222
  170 26.9064 2.912 0.202222
  171 27.0652 2.782 0.193194
  172 27.2239 3.032 0.210556
  173 27.3827 3.93 0.272917
  174 27.5414 6.098 0.423472
  175 27.7001 8.632 0.599444
  176 27.8589 5.214 0.362083
  177 28.0176 0.726 0.0504167
  178 28.1764 0.008 0.000555556
  179 28.3351 0 0
  180 28.4938 0 0
