# Chunk-averaged data for fix zprofile and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7500 180 538.7880000000002
  1 0.0793701 0 0
  2 0.23811 0 0
  3 0.39685 0 0
  4 0.55559 0 0
  5 0.71433 0 0
  6 0.873071 0 0
  7 1.03181 0 0
  8 1.19055 0 0
  9 1.34929 0 0
  10 1.50803 0 0
  11 1.66677 0 0
  12 1.82551 0 0
  13 1.98425 0 0
  14 2.14299 0 0
  15 2.30173 0 0
  16 2.46047 0 0
  17 2.61921 0 0
  18 2.77795 0 0
  19 2.93669 0 0
  20 3.09543 0 0
  21 3.25417 0 0
  22 3.41291 0 0
  23 3.57165 0 0
  24 3.73039 0 0
  25 3.88913 0 0
  26 4.04787 0 0
  27 4.20661 0 0
  28 4.36535 0 0
  29 4.52409 0 0
  30 4.68283 0 0
  31 4.84157 0 0
  32 5.00031 0 0
  33 5.15905 0 0
  34 5.31779 8.376 0.581667
  35 5.47653 50.148 3.4825
  36 5.63527 11.538 0.80125
  37 5.79401 1.236 0.0858333
  38 5.95275 0.484 0.0336111
  39 6.11149 2.144 0.148889
  40 6.27023 8.104 0.562778
  41 6.42897 10.376 0.720556
  42 6.58771 7.178 0.498472
  43 6.74645 4.308 0.299167
  44 6.90519 3.274 0.227361
  45 7.06393 3.038 0.210972
  46 7.22267 3.31 0.229861
  47 7.38141 3.588 0.249167
  48 7.54015 3.324 0.230833
  49 7.6989 3.222 0.22375
  50 7.85764 2.982 0.207083
  51 8.01638 2.928 0.203333
  52 8.17512 2.83 0.196528
  53 8.33386 2.832 0.196667
  54 8.4926 2.784 0.193333
  55 8.65134 2.674 0.185694
  56 8.81008 2.73 0.189583
  57 8.96882 2.648 0.183889
  58 9.12756 2.792 0.193889
  59 9.2863 2.794 0.194028
  60 9.44504 2.55 0.177083
  61 9.60378 2.618 0.181806
  62 9.76252 2.608 0.181111
  63 9.92126 2.584 0.179444
  64 10.08 2.69 0.186806
  65 10.2387 2.632 0.182778
  66 10.3975 2.582 0.179306
  67 10.5562 2.52 0.175
  68 10.715 2.544 0.176667
  69 10.8737 2.652 0.184167
  70 11.0324 2.59 0.179861
  71 11.1912 2.522 0.175139
  72 11.3499 2.678 0.185972
  73 11.5087 2.536 0.176111
  74 11.6674 2.616 0.181667
  75 11.8261 2.512 0.174444
  76 11.9849 2.51 0.174306
  77 12.1436 2.554 0.177361
  78 12.3024 2.366 0.164306
  79 12.4611 2.668 0.185278
  80 12.6198 2.6 0.180556
  81 12.7786 2.554 0.177361
  82 12.9373 2.48 0.172222
  83 13.0961 2.444 0.169722
  84 13.2548 2.624 0.182222
  85 13.4135 2.492 0.173056
  86 13.5723 2.498 0.173472
  87 13.731 2.526 0.175417
  88 13.8898 2.438 0.169306
  89 14.0485 2.486 0.172639
  90 14.2072 2.46 0.170833
  91 14.366 2.564 0.178056
  92 14.5247 2.58 0.179167
  93 14.6835 2.526 0.175417
  94 14.8422 2.572 0.178611
  95 15.0009 2.446 0.169861
  96 15.1597 2.458 0.170694
  97 15.3184 2.558 0.177639
  98 15.4772 2.536 0.176111
  99 15.6359 2.492 0.173056
  100 15.7946 2.646 0.18375
  101 15.9534 2.528 0.175556
  102 16.1121 2.486 0.172639
  103 16.2709 2.624 0.182222
  104 16.4296 2.66 0.184722
  105 16.5883 2.528 0.175556
  106 16.7471 2.458 0.170694
  107 16.9058 2.46 0.170833
  108 17.0646 2.686 0.186528
  109 17.2233 2.664 0.185
  110 17.382 2.506 0.174028
  111 17.5408 2.402 0.166806
  112 17.6995 2.688 0.186667
  113 17.8583 2.574 0.17875
  114 18.017 2.504 0.173889
  115 18.1757 2.552 0.177222
  116 18.3345 2.586 0.179583
  117 18.4932 2.612 0.181389
  118 18.652 2.584 0.179444
  119 18.8107 2.586 0.179583
  120 18.9694 2.642 0.183472
  121 19.1282 2.462 0.170972
  122 19.2869 2.516 0.174722
  123 19.4457 2.634 0.182917
  124 19.6044 2.568 0.178333
  125 19.7631 2.694 0.187083
  126 19.9219 2.682 0.18625
  127 20.0806 2.584 0.179444
  128 20.2394 2.466 0.17125
  129 20.3981 2.636 0.183056
  130 20.5568 2.61 0.18125
  131 20.7156 2.564 0.178056
  132 20.8743 2.59 0.179861
  133 21.0331 2.482 0.172361
  134 21.1918 2.548 0.176944
  135 21.3505 2.628 0.1825
  136 21.5093 2.544 0.176667
  137 21.668 2.52 0.175
  138 21.8268 2.64 0.183333
  139 21.9855 2.696 0.187222
  140 22.1442 2.518 0.174861
  141 22.303 2.546 0.176806
  142 22.4617 2.64 0.183333
  143 22.6205 2.5 0.173611
  144 22.7792 2.434 0.169028
  145 22.9379 2.544 0.176667
  146 23.0967 2.574 0.17875
  147 23.2554 2.49 0.172917
  148 23.4142 2.564 0.178056
  149 23.5729 2.642 0.183472
  150 23.7316 2.582 0.179306
  151 23.8904 2.782 0.193194
  152 24.0491 2.502 0.17375
  153 24.2079 2.632 0.182778
  154 24.3666 2.694 0.187083
  155 24.5253 2.56 0.177778
  156 24.6841 2.694 0.187083
  157 24.8428 2.766 0.192083
  158 25.0016 2.872 0.199444
  159 25.1603 2.828 0.196389
  160 25.319 2.75 0.190972
  161 25.4778 2.872 0.199444
  162 25.6365 3.16 0.219444
  163 25.7953 3.43 0.238194
  164 25.954 3.716 0.258056
  165 26.1127 3.274 0.227361
  166 26.2715 3.056 0.212222
  167 26.4302 3.232 0.224444
  168 26.589 4.358 0.302639
  169 26.7477 7.21 0.500694
  170 26.9064 10.492 0.728611
  171 27.0652 8.242 0.572361
  172 27.2239 2.33 0.161806
  173 27.3827 0.36 0.025
  174 27.5414 1.158 0.0804167
  175 27.7001 11.462 0.795972
  176 27.8589 49.83 3.46042
  177 28.0176 8.944 0.621111
  178 28.1764 0 0
  179 28.3351 0 0
  180 28.4938 0 0
