   Step          Temp          PotEng         KinEng         TotEng         Press     
         0   1206.2495     -2771.132       133.31159     -2637.8204      631.63767    
      1000   1167.6986     -2778.4953      129.05105     -2649.4442     -3910.1206    
      2000   1150.9009     -2772.0087      127.1946      -2644.8141     -302.84539    
      3000   1160.6147     -2776.6041      128.26815     -2648.3359     -1340.5775    
      4000   1190.1391     -2772.2954      131.5311      -2640.7643     -1236.254     
      5000   1166.3111     -2775.721       128.8977      -2646.8233     -1601.6896    
      6000   1157.0321     -2773.8445      127.8722      -2645.9723     -31.441051    
      7000   1226.8081     -2773.3895      135.58367     -2637.8059      672.86664    
      8000   1189.0514     -2771.8184      131.41089     -2640.4075     -1502.3348    
      9000   1140.6446     -2767.8541      126.06111     -2641.793       1477.1809    
     10000   1175.0099     -2774.8335      129.85907     -2644.9744     -370.36096    
     11000   1204.3328     -2770.1309      133.09976     -2637.0311      483.27838    
     12000   1174.6889     -2771.4263      129.82359     -2641.6027      26.506422    
     13000   1099.3006     -2768.7165      121.49187     -2647.2247      739.55136    
     14000   1204.2903     -2771.2857      133.09506     -2638.1907      331.77225    
     15000   1211.8489     -2767.3072      133.93042     -2633.3767      447.54245    
     16000   1196.2565     -2772.9523      132.20719     -2640.7451     -1546.8511    
     17000   1199.1147     -2770.0387      132.52307     -2637.5156      561.30488    
     18000   1148.6128     -2773.3638      126.94173     -2646.4221     -665.96134    
     19000   1247.426      -2768.1493      137.8623      -2630.287       1185.0987    
     20000   1101.0422     -2774.9281      121.68435     -2653.2438     -157.80581    
     21000   1197.4663     -2773.4359      132.34089     -2641.095      -2081.0879    
     22000   1117.1089     -2773.9945      123.46        -2650.5345     -2893.4069    
     23000   1170.5158     -2772.9641      129.36239     -2643.6017     -1761.0179    
     24000   1166.0008     -2771.7489      128.86341     -2642.8855     -1782.9523    
     25000   1241.688      -2772.317       137.22816     -2635.0889      1553.3183    
     26000   1133.305      -2770.4104      125.24995     -2645.1604     -408.34071    
