   Step          Temp          PotEng         KinEng         TotEng         Press     
         0   1130.7614     -2781.2863      124.96884     -2656.3174     -105.11527    
        10   1121.3348     -2780.2186      123.92704     -2656.2916      59.060484    
        20   1112.6649     -2779.1537      122.96886     -2656.1848      215.97648    
        30   1107.4842     -2778.3574      122.3963      -2655.9611      268.84294    
        40   1108.1256     -2778.0183      122.46718     -2655.5511      163.03074    
        50   1115.5909     -2778.2878      123.29223     -2654.9955     -133.30772    
        60   1126.9219     -2778.8582      124.5445      -2654.3137     -384.86471    
        70   1137.1428     -2779.1951      125.67409     -2653.521      -475.52823    
        80   1143.0042     -2778.8214      126.32188     -2652.4995     -331.89297    
        90   1144.2685     -2778.0043      126.46161     -2651.5427      77.2842      
       100   1145.2968     -2777.1619      126.57525     -2650.5867      562.49416    
       110   1150.9603     -2776.8813      127.20117     -2649.6801      906.40497    
       120   1160.989      -2777.1221      128.30951     -2648.8126      1070.634     
       130   1172.4659     -2777.5877      129.57791     -2648.0098      1057.3968    
       140   1183.6142     -2778.1148      130.80999     -2647.3048      911.15624    
       150   1194.0405     -2778.7837      131.96228     -2646.8215      699.64275    
       160   1202.4337     -2779.3476      132.88987     -2646.4577      425.0451     
       170   1207.4074     -2779.6362      133.43956     -2646.1967      199.12425    
       180   1208.1051     -2779.5562      133.51666     -2646.0396      62.510289    
       190   1206.4824     -2779.3764      133.33733     -2646.039       66.71063     
       200   1203.7358     -2779.0099      133.03378     -2645.9761      118.4371     
       210   1199.2875     -2778.6081      132.54216     -2646.0659      206.02917    
       220   1193.0229     -2778.0186      131.84981     -2646.1688      287.87553    
       230   1187.6436     -2777.6484      131.25531     -2646.3931      441.85013    
       240   1184.6631     -2777.5228      130.92592     -2646.5968      561.32727    
       250   1182.3335     -2777.5192      130.66845     -2646.8508      652.64349    
       260   1176.4192     -2777.1188      130.01482     -2647.104       704.05645    
       270   1163.6029     -2775.9701      128.59839     -2647.3717      763.22947    
       280   1146.1571     -2774.1769      126.67033     -2647.5065      896.49283    
       290   1128.3062     -2772.3518      124.69749     -2647.6543      943.47132    
       300   1115.4494     -2770.9945      123.27659     -2647.7179      939.91584    
       310   1111.1693     -2770.4352      122.80357     -2647.6316      785.36021    
       320   1115.2478     -2770.7077      123.25431     -2647.4534      605.37136    
       330   1124.2704     -2771.3742      124.25147     -2647.1227      312.49838    
       340   1134.0697     -2772.0497      125.33447     -2646.7152      131.99542    
       350   1142.7303     -2772.4584      126.29161     -2646.1668      0.53790651   
       360   1150.732      -2772.6829      127.17593     -2645.507      -4.3398381    
       370   1158.7583     -2772.8661      128.06298     -2644.8032      220.83029    
       380   1166.7692     -2772.9602      128.94832     -2644.0119      570.90855    
       390   1175.4349     -2773.1084      129.90603     -2643.2024      931.42968    
       400   1186.7703     -2773.6277      131.15879     -2642.4689      1089.2433    
       410   1202.3424     -2774.5758      132.87978     -2641.6961      984.31654    
       420   1221.1179     -2775.9786      134.95481     -2641.0238      652.62848    
       430   1237.4911     -2777.2969      136.76433     -2640.5326      322.42873    
       440   1246.98       -2778.0461      137.81302     -2640.2331      149.01026    
       450   1249.322      -2778.2091      138.07185     -2640.1373      210.81724    
       460   1245.7403     -2777.8154      137.67601     -2640.1394      437.77876    
       470   1237.8833     -2777.1666      136.80768     -2640.3589      739.79009    
       480   1226.8554     -2776.2498      135.58889     -2640.6609      1090.4918    
       490   1213.3276     -2775.1682      134.09385     -2641.0743      1330.2602    
       500   1198.8704     -2774.0732      132.49607     -2641.5772      1595.2799    
       510   1186.756      -2773.2403      131.15722     -2642.0831      1804.8523    
       520   1179.1154     -2773.0172      130.3128      -2642.7044      1984.7201    
       530   1174.8568     -2773.0711      129.84214     -2643.2289      2063.0603    
       540   1172.3734     -2773.255       129.56768     -2643.6873      1911.8836    
       550   1170.9441     -2773.5011      129.40972     -2644.0914      1653.9292    
       560   1171.3493     -2773.9044      129.4545      -2644.4499      1200.8375    
       570   1174.4876     -2774.5117      129.80134     -2644.7104      603.44182    
       580   1180.3556     -2775.4559      130.44986     -2645.006       122.6882     
       590   1186.4282     -2776.4199      131.12099     -2645.2989     -190.40816    
       600   1188.4008     -2776.8753      131.33899     -2645.5363     -297.68426    
       610   1183.1892     -2776.6125      130.76302     -2645.8495     -148.50061    
       620   1174.1996     -2775.7783      129.76952     -2646.0088      15.467452    
       630   1166.7311     -2775.1975      128.94412     -2646.2534      124.68078    
       640   1164.5142     -2775.0589      128.69911     -2646.3598      81.403021    
       650   1169.232      -2775.6788      129.22051     -2646.4583     -162.44002    
       660   1179.1759     -2776.8518      130.31948     -2646.5323     -607.95013    
       670   1191.7603     -2778.3195      131.71028     -2646.6093     -1188.9567    
       680   1205.3655     -2779.9163      133.21389     -2646.7024     -1795.233     
       690   1217.5742     -2781.4302      134.56316     -2646.867      -2198.8638    
       700   1224.9175     -2782.488       135.37473     -2647.1132     -2415.2636    
       710   1222.4512     -2782.5647      135.10215     -2647.4626     -2407.9142    
       720   1206.8898     -2781.2767      133.38235     -2647.8943     -2127.4466    
       730   1180.8934     -2778.8006      130.50929     -2648.2913     -1694.5137    
       740   1153.3483     -2776.2486      127.46508     -2648.7836     -1176.6221    
       750   1133.0893     -2774.3577      125.22612     -2649.1316     -803.91928    
       760   1125.0852     -2773.7024      124.34152     -2649.3609     -741.0992     
       770   1130.5668     -2774.486       124.94733     -2649.5387     -1048.1733    
       780   1146.9371     -2776.3363      126.75653     -2649.5798     -1583.5513    
       790   1167.4818     -2778.6629      129.02708     -2649.6358     -2177.4069    
       800   1185.4838     -2780.6331      131.01661     -2649.6165     -2698.0269    
       810   1195.7123     -2781.8231      132.14704     -2649.6761     -2957.6493    
       820   1195.3483     -2781.8507      132.10682     -2649.7439     -3043.662     
       830   1185.2283     -2780.8339      130.98837     -2649.8455     -2948.7157    
       840   1169.9774     -2779.314       129.30289     -2650.0111     -2634.9378    
       850   1155.7195     -2777.8512      127.72715     -2650.124      -2355.3867    
       860   1147.0111     -2776.9618      126.76472     -2650.1971     -2026.2111    
       870   1144.7        -2776.7564      126.5093      -2650.2471     -1728.0404    
       880   1147.3746     -2777.0559      126.80488     -2650.251      -1456.8333    
       890   1153.3513     -2777.6013      127.46542     -2650.1359     -1288.1611    
       900   1159.7842     -2778.2797      128.17636     -2650.1033     -1165.356     
       910   1164.0067     -2778.6053      128.64303     -2649.9623     -1082.4444    
       920   1165.1485     -2778.549       128.76921     -2649.7798     -1045.6423    
       930   1165.2548     -2778.2314      128.78095     -2649.4505     -1204.5436    
       940   1167.9447     -2778.1761      129.07824     -2649.0978     -1366.6607    
       950   1174.2161     -2778.4145      129.77133     -2648.6432     -1645.2961    
       960   1183.5786     -2778.9603      130.80605     -2648.1542     -1897.4917    
       970   1194.7988     -2779.6747      132.04608     -2647.6286     -2157.1576    
       980   1206.1319     -2780.2778      133.29859     -2646.9792     -2383.5552    
       990   1214.9282     -2780.6449      134.27074     -2646.3742     -2547.0996    
      1000   1219.4228     -2780.4867      134.76747     -2645.7192     -2548.6175    
      1010   1219.0765     -2779.8739      134.7292      -2645.1447     -2346.2439    
      1020   1214.6216     -2778.8034      134.23685     -2644.5665     -1947.9631    
      1030   1207.9741     -2777.4952      133.50219     -2643.993      -1417.8017    
      1040   1199.5033     -2775.9873      132.56601     -2643.4213     -887.70778    
      1050   1189.7608     -2774.3532      131.4893      -2642.8639     -360.17569    
